laws_service_id,laws_service,laws,
49,"교통사고처리특례법 제3조 제1항,교통사고처리특례법 제3조 제2항_단서 제1호,형법 제268조",교통사고처리특례법 제3조 제1항 차의 운전자가 교통사고로 인하여 「형법」 제268조의 죄를 범한 경우에는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다. \n 교통사고처리특례법 제3조 제2항_단서 제1호 「도로교통법」 제5조에 따른 신호기가 표시하는 신호 또는 교통정리를 하는 경찰공무원등의 신호를 위반하거나 통행금지 또는 일시정지를 내용으로 하는 안전표지가 표시하는 지시를 위반하여 운전한 경우 \n 형법 제268조 업무상과실 또는 중대한 과실로 사람을 사망이나 상해에 이르게 한 자는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다.,
50,"자동차손해배상보장법 제46조 제2항 제2호,자동차손해배상보장법 제8조_본문","자동차손해배상보장법 제46조 제2항 제2호 자동차손해배상 보장법 제27조를 위반하여 의무보험 사업을 구분 경리하지 아니한 보험회사등 \n 자동차손해배상보장법 제8조_본문 무보험에 가입되어 있지 아니한 자동차는 도로에서 운행하여서는 아니 된다. 다만, 자동차손해배상 보장법 제5조제4항에 따라 대통령령으로 정하는 자동차는 운행할 수 있다.",
51,"특정범죄가중처벌등에관한법률 제5조의11 제1항,도로교통법 제148조의2 제3항 제2호,도로교통법 제44조 제1항","특정범죄가중처벌등에관한법률 제5조의11 제1항  음주 또는 약물의 영향으로 정상적인 운전이 곤란한 상태에서 자동차(원동기장치자전거를 포함한다)를 운전하여 사람을 상해에 이르게 한 사람은 1년 이상 15년 이하의 징역 또는 1천만원 이상 3천만원 이하의 벌금에 처하고, 사망에 이르게 한 사람은 무기 또는 3년 이상의 징역에 처한다. \n 도로교통법 제148조의2 제3항 제2호 혈중알코올농도가 0.08퍼센트 이상 0.2퍼센트 미만인 사람은 1년 이상 2년 이하의 징역이나 500만원 이상 1천만원 이하의 벌금 \n 도로교통법 제44조 제1항 누구든지 술에 취한 상태에서 자동차등(「건설기계관리법」 제26조제1항 단서에 따른 건설기계 외의 건설기계를 포함한다. 이하 이 조, 제45조, 제47조, 제93조제1항제1호부터 제4호까지 및 제148조의2에서 같다), 노면전차 또는 자전거를 운전하여서는 아니 된다.",
52,형법 제323조,"형법 제323조 타인의 점유 또는 권리의 목적이 된 자기의 물건 또는 전자기록등 특수매체기록을 취거, 은닉 또는 손괴하여 타인의 권리행사를 방해한 자는 5년 이하의 징역 또는 700만원 이하의 벌금에 처한다.",
53,"형법 제332조,형법 제330조","형법 제323조 타인의 점유 또는 권리의 목적이 된 자기의 물건 또는 전자기록등 특수매체기록을 취거, 은닉 또는 손괴하여 타인의 권리행사를 방해한 자는 5년 이하의 징역 또는 700만원 이하의 벌금에 처한다. \n 야간에 사람의 주거, 관리하는 건조물, 선박, 항공기 또는 점유하는 방실(房室)에 침입하여 타인의 재물을 절취(竊取)한 자는 10년 이하의 징역에 처한다.",
54,특정범죄가중처벌등에관한법률 제5조의10 제1항,특정범죄가중처벌등에관한법률 제5조의10 제1항 운행 중(「여객자동차 운수사업법」 제2조제3호에 따른 여객자동차운송사업을 위하여 사용되는 자동차를 운행하는 중 운전자가 여객의 승차ㆍ하차 등을 위하여 일시 정차한 경우를 포함한다)인 자동차의 운전자를 폭행하거나 협박한 사람은 5년 이하의 징역 또는 2천만원 이하의 벌금에 처한다.,
55,"형법 제319조 제2항,형법 제319조 제1항","형법 제319조 제2항 전항의 장소에서 퇴거요구를 받고 응하지 아니한 자도 전항의 형과 같다. \n 형법 제319조 제1항 사람의 주거, 관리하는 건조물, 선박이나 항공기 또는 점유하는 방실에 침입한 자는 3년 이하의 징역 또는 500만원 이하의 벌금에 처한다.",
56,형법 제266조 제1항,"형법 제266조 제1항 과실로 인하여 사람의 신체를 상해에 이르게 한 자는 500만원 이하의 벌금, 구류 또는 과료에 처한다.",
57,"특정범죄가중처벌등에관한법률 제5조의3 제1항 제2호,형법 제268조,도로교통법 제148조,도로교통법 제54조 제1항",특정범죄가중처벌등에관한법률 제5조의3 제1항 제2호 피해자를 상해에 이르게 한 경우에는 1년 이상의 유기징역 또는 500만원 이상 3천만원 이하의 벌금에 처한다. \n 형법 제268조 업무상과실 또는 중대한 과실로 사람을 사망이나 상해에 이르게 한 자는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다. \n 도로교통법 제148조 도로교통법 제54조제1항에 따른 교통사고 발생 시의 조치를 하지 아니한 사람(주ㆍ정차된 차만 손괴한 것이 분명한 경우에 도로교통법 제54조제1항제2호에 따라 피해자에게 인적 사항을 제공하지 아니한 사람은 제외한다)은 5년 이하의 징역이나 1천500만원 이하의 벌금에 처한다. \n 도로교통법 제54조 제1항 차 또는 노면전차의 운전 등 교통으로 인하여 사람을 사상하거나 물건을 손괴(이하 “교통사고”라 한다)한 경우에는 그 차 또는 노면전차의 운전자나 그 밖의 승무원(이하 “운전자등”이라 한다)은 즉시 정차하여 다음 각 호의 조치를 하여야 한다.,
58,"정보통신망이용촉진및정보보호등에관한법률 제74조 제1항 제2호,정보통신망이용촉진및정보보호등에관한법률 제44조의7 제1항 제1호",정보통신망이용촉진및정보보호등에관한법률 제74조 제1항 제2호 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제44조의7제1항제1호를 위반하여 음란한 부호ㆍ문언ㆍ음향ㆍ화상 또는 영상을 배포ㆍ판매ㆍ임대하거나 공공연하게 전시한 자 \n 정보통신망이용촉진및정보보호등에관한법률 제44조의7 제1항 제1호 음란한 부호ㆍ문언ㆍ음향ㆍ화상 또는 영상을 배포ㆍ판매ㆍ임대하거나 공공연하게 전시하는 내용의 정보,
59,"도로교통법 제152조 제1호,도로교통법 제43조,자동차손해배상보장법 제46조 제2항 제2호,자동차손해배상보장법 제8조_본문","도로교통법 제152조 제1호 제43조를 위반하여 도로교통법 제80조에 따른 운전면허(원동기장치자전거면허는 제외한다. 이하 이 조에서 같다)를 받지 아니하거나(운전면허의 효력이 정지된 경우를 포함한다) 또는 도로교통법 제96조에 따른 국제운전면허증 또는 상호인정외국면허증을 받지 아니하고(운전이 금지된 경우와 유효기간이 지난 경우를 포함한다) 자동차를 운전한 사람 \n 도로교통법 제43조 누구든지 도로교통법 제80조에 따라 시ㆍ도경찰청장으로부터 운전면허를 받지 아니하거나 운전면허의 효력이 정지된 경우에는 자동차등을 운전하여서는 아니 된다. \n 자동차손해배상보장법 제46조 제2항 제2호 자동차손해배상 보장법 제27조를 위반하여 의무보험 사업을 구분 경리하지 아니한 보험회사등 \n 자동차손해배상보장법 제8조_본문 의무보험에 가입되어 있지 아니한 자동차는 도로에서 운행하여서는 아니 된다. 다만, 자동차손해배상 보장법 제5조제4항에 따라 대통령령으로 정하는 자동차는 운행할 수 있다.",
60,"형법 제262조,형법 제260조 제1항,형법 제257조 제1항","형법 제262조 형법 제260조와 형법 제261조의 죄를 지어 사람을 사망이나 상해에 이르게 한 경우에는 형법 제257조부터 형법 제259조까지의 예에 따른다. \n 형법 제257조 제1항 사람의 신체를 상해한 자는 7년 이하의 징역, 10년 이하의 자격정지 또는 1천만원 이하의 벌금에 처한다. ",
61,"폭력행위등처벌에관한법률 제2조 제2항 제3호,형법 제257조 제1항","폭력행위등처벌에관한법률 제2조 제2항 제3호 형법 제257조 제1항(상해)ㆍ제2항(존속상해), 형법 제276조 제2항(존속체포, 존속감금) 또는 형법 제350조(공갈)의 죄 \n 형법 제257조 제1항 사람의 신체를 상해한 자는 7년 이하의 징역, 10년 이하의 자격정지 또는 1천만원 이하의 벌금에 처한다.",
62,"형법 제314조 제1항,형법 제260조 제1항","형법 제314조 제1항 형법 제313조의 방법 또는 위력으로써 사람의 업무를 방해한 자는 5년 이하의 징역 또는 1천500만원 이하의 벌금에 처한다. \n 형법 제260조 제1항 사람의 신체에 대하여 폭행을 가한 자는 2년 이하의 징역, 500만원 이하의 벌금, 구류 또는 과료에 처한다.",
63,"형법 제347조 제2항,형법 제347조 제1항",형법 제347조 제2항 컴퓨터등 정보처리장치에 허위의 정보 또는 부정한 명령을 입력하거나 권한 없이 정보를 입력ㆍ변경하여 정보처리를 하게 함으로써 재산상의 이익을 취득하거나 제3자로 하여금 취득하게 한 자는 10년 이하의 징역 또는 2천만원 이하의 벌금에 처한다. \n 형법 제347조 제1항 사람을 기망하여 재물의 교부를 받거나 재산상의 이익을 취득한 자는 10년 이하의 징역 또는 2천만원 이하의 벌금에 처한다.,
64,"도로교통법 제148조의2 제3항 제3호,도로교통법 제44조 제1항,도로교통법 제152조 제1호,도로교통법 제43조","도로교통법 제148조의2 제3항 제3호 혈중알코올농도가 0.03퍼센트 이상 0.08퍼센트 미만인 사람은 1년 이하의 징역이나 500만원 이하의 벌금 \n 도로교통법 제44조 제1항 도로교통법 제44조 제1항 누구든지 술에 취한 상태에서 자동차등(건설기계관리법 제26조제1항 단서에 따른 건설기계 외의 건설기계를 포함한다. 이하 이 조, 도로교통법 제45조, 도로교통법 제47조, 도로교통법 제93조 제1항 제1호부터 제4호까지 및 도로교통법 제148조의2에서 같다), 노면전차 또는 자전거를 운전하여서는 아니 된다.",
65,형법 제185조,"형법 제185조 육로, 수로 또는 교량을 손괴 또는 불통하게 하거나 기타 방법으로 교통을 방해한 자는 10년 이하의 징역 또는 1천500만원 이하의 벌금에 처한다.",
66,"교통사고처리특례법 제3조 제1항,교통사고처리특례법 제3조 제2항_단서 제9호,형법 제268조",교통사고처리특례법 제3조 제1항 차의 운전자가 교통사고로 인하여 형법 제268조의 죄를 범한 경우에는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다. \n 교통사고처리특례법 제3조 제2항_단서 제9호 도로교통법 제13조제1항을 위반하여 보도(步道)가 설치된 도로의 보도를 침범하거나 도로교통법 제13조제2항에 따른 보도 횡단방법을 위반하여 운전한 경우 \n 형법 제268조 업무상과실 또는 중대한 과실로 사람을 사망이나 상해에 이르게 한 자는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다.,
67,"형법 제331조 제2항,형법 제331조 제1항",형법 제331조 제2항 흉기를 휴대하거나 2명 이상이 합동하여 타인의 재물을 절취한 자도 형법 제331조 제1항의 형에 처한다. \n 형법 제331조 제1항 야간에 문이나 담 그 밖의 건조물의 일부를 손괴하고 형법 제330조의 장소에 침입하여 타인의 재물을 절취한 자는 1년 이상 10년 이하의 징역에 처한다.,
68,"교통사고처리특례법 제3조 제1항,교통사고처리특례법 제3조 제2항_단서 제8호,형법 제268조,도로교통법 제148조의2 제3항 제2호,도로교통법 제44조 제1항","교통사고처리특례법 제3조 제1항 차의 운전자가 교통사고로 인하여 형법 제268조의 죄를 범한 경우에는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다. \n 교통사고처리특례법 제3조 제2항_단서 제8호 도로교통법 제44조제1항을 위반하여 술에 취한 상태에서 운전을 하거나 도로교통법 제45조를 위반하여 약물의 영향으로 정상적으로 운전하지 못할 우려가 있는 상태에서 운전한 경우 \n 형법 제268조 업무상과실 또는 중대한 과실로 사람을 사망이나 상해에 이르게 한 자는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다. \n 도로교통법 제148조의2 제3항 제2호 혈중알코올농도가 0.08퍼센트 이상 0.2퍼센트 미만인 사람은 1년 이상 2년 이하의 징역이나 500만원 이상 1천만원 이하의 벌금 \n 도로교통법 제44조 제1항 누구든지 술에 취한 상태에서 자동차등(건설기계관리법 제26조제1항 단서에 따른 건설기계 외의 건설기계를 포함한다. 이하 이 조, 도로교통법 제45조, 도로교통법 제47조, 도로교통법 제93조 제1항 제1호부터 제4호까지 및 도로교통법 제148조의2에서 같다), 노면전차 또는 자전거를 운전하여서는 아니 된다.",
69,형법 제319조 제1항,"형법 제319조 제1항 사람의 주거, 관리하는 건조물, 선박이나 항공기 또는 점유하는 방실에 침입한 자는 3년 이하의 징역 또는 500만원 이하의 벌금에 처한다.",
70,형법 제283조 제1항,"형법 제283조 제1항 사람을 협박한 자는 3년 이하의 징역, 500만원 이하의 벌금, 구류 또는 과료에 처한다.",
71,형법 제152조 제1항,형법 제152조 제1항 법률에 의하여 선서한 증인이 허위의 진술을 한 때에는 5년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.,
72,형법 제347조의2,형법 제347조의2 컴퓨터등 정보처리장치에 허위의 정보 또는 부정한 명령을 입력하거나 권한 없이 정보를 입력ㆍ변경하여 정보처리를 하게 함으로써 재산상의 이익을 취득하거나 제3자로 하여금 취득하게 한 자는 10년 이하의 징역 또는 2천만원 이하의 벌금에 처한다.,
73,성폭력범죄의처벌등에관한특례법 제13조,"성폭력범죄의처벌등에관한특례법 제13조 자기 또는 다른 사람의 성적 욕망을 유발하거나 만족시킬 목적으로 전화, 우편, 컴퓨터, 그 밖의 통신매체를 통하여 성적 수치심이나 혐오감을 일으키는 말, 음향, 글, 그림, 영상 또는 물건을 상대방에게 도달하게 한 사람은 2년 이하의 징역 또는 2천만원 이하의 벌금에 처한다.",
74,형법 제357조 제1항,형법 제357조 제1항 타인의 사무를 처리하는 자가 그 임무에 관하여 부정한 청탁을 받고 재물 또는 재산상의 이익을 취득하거나 제3자로 하여금 이를 취득하게 한 때에는 5년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.,
75,형법 제246조 제1항,"형법 제246조 제1항 도박을 한 사람은 1천만원 이하의 벌금에 처한다. 다만, 일시오락 정도에 불과한 경우에는 예외로 한다.",
76,"형법 제319조 제1항,형법 제329조","형법 제319조 제1항 사람의 주거, 관리하는 건조물, 선박이나 항공기 또는 점유하는 방실에 침입한 자는 3년 이하의 징역 또는 500만원 이하의 벌금에 처한다. \n 형법 제329조 타인의 재물을 절취한 자는 6년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.",
77,"형법 제314조 제1항,형법 제136조 제1항",형법 제314조 제1항 형법 제313조의 방법 또는 위력으로써 사람의 업무를 방해한 자는 5년 이하의 징역 또는 1천500만원 이하의 벌금에 처한다. \n 형법 제136조 제1항 직무를 집행하는 공무원에 대하여 폭행 또는 협박한 자는 5년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.,
78,"형법 제331조 제1항,형법 제330조","형법 제331조 제1항 야간에 문이나 담 그 밖의 건조물의 일부를 손괴하고 형법 제330조의 장소에 침입하여 타인의 재물을 절취한 자는 1년 이상 10년 이하의 징역에 처한다. \n 형법 제330조 야간에 사람의 주거, 관리하는 건조물, 선박, 항공기 또는 점유하는 방실(房室)에 침입하여 타인의 재물을 절취(竊取)한 자는 10년 이하의 징역에 처한다.",
79,"형법 제356조,형법 제355조 제2항,형법 제355조 제1항",형법 제356조 업무상의 임무에 위배하여 형법 제355조의 죄를 범한 자는 10년 이하의 징역 또는 3천만원 이하의 벌금에 처한다. \n 형법 제355조 제2항 타인의 사무를 처리하는 자가 그 임무에 위배하는 행위로써 재산상의 이익을 취득하거나 제삼자로 하여금 이를 취득하게 하여 본인에게 손해를 가한 때에도 전항의 형과 같다. \n 형법 제355조 제1항 타인의 재물을 보관하는 자가 그 재물을 횡령하거나 그 반환을 거부한 때에는 5년 이하의 징역 또는 1천500만원 이하의 벌금에 처한다.,
80,"특정경제범죄가중처벌등에관한법률 제3조 제1항 제2호,형법 제347조 제1항",특정경제범죄가중처벌등에관한법률 제3조 제1항 제2호 이득액이 5억원 이상 50억원 미만일 때: 3년 이상의 유기징역 \n 형법 제347조 제1항 사람을 기망하여 재물의 교부를 받거나 재산상의 이익을 취득한 자는 10년 이하의 징역 또는 2천만원 이하의 벌금에 처한다.,
81,"특정범죄가중처벌등에관한법률 제5조의11 제1항,도로교통법 제148조의2 제1항,도로교통법 제44조 제1항","특정범죄가중처벌등에관한법률 제5조의11 제1항 음주 또는 약물의 영향으로 정상적인 운전이 곤란한 상태에서 자동차(원동기장치자전거를 포함한다)를 운전하여 사람을 상해에 이르게 한 사람은 1년 이상 15년 이하의 징역 또는 1천만원 이상 3천만원 이하의 벌금에 처하고, 사망에 이르게 한 사람은 무기 또는 3년 이상의 징역에 처한다. \n 도로교통법 제148조의2 제1항 도로교통법 제44조 제1항 또는 도로교통법 제44조 제2항을 2회 이상 위반한 사람(자동차등 또는 노면전차를 운전한 사람으로 한정한다. 다만, 개인형 이동장치를 운전하는 경우는 제외한다. 이하 이 조에서 같다)은 2년 이상 5년 이하의 징역이나 1천만원 이상 2천만원 이하의 벌금에 처한다. \n 도로교통법 제44조 제1항 누구든지 술에 취한 상태에서 자동차등(건설기계관리법 제26조제1항 단서에 따른 건설기계 외의 건설기계를 포함한다. 이하 이 조, 도로교통법 제45조, 도로교통법 제47조, 도로교통법 제93조 제1항 제1호부터 제4호까지 및 도로교통법 제148조의2에서 같다), 노면전차 또는 자전거를 운전하여서는 아니 된다.",
82,"교통사고처리특례법 제3조 제1항,교통사고처리특례법 제3조 제2항_단서 제6호,형법 제268조",교통사고처리특례법 제3조 제1항 차의 운전자가 교통사고로 인하여 형법 제268조의 죄를 범한 경우에는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다. \n 교통사고처리특례법 제3조 제2항_단서 제6호 도로교통법 제27조 제1항에 따른 횡단보도에서의 보행자 보호의무를 위반하여 운전한 경우 \n 형법 제268조 업무상과실 또는 중대한 과실로 사람을 사망이나 상해에 이르게 한 자는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다.,
83,"교통사고처리특례법 제3조 제1항,교통사고처리특례법 제3조 제2항_단서 제8호,형법 제268조,도로교통법 제148조의2 제1항,도로교통법 제44조 제1항","교통사고처리특례법 제3조 제1항 차의 운전자가 교통사고로 인하여 형법 제268조의 죄를 범한 경우에는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다. \n 교통사고처리특례법 제3조 제2항_단서 제8호 도로교통법 제44조제1항을 위반하여 술에 취한 상태에서 운전을 하거나 도로교통법 제45조를 위반하여 약물의 영향으로 정상적으로 운전하지 못할 우려가 있는 상태에서 운전한 경우 \n 형법 제268조 업무상과실 또는 중대한 과실로 사람을 사망이나 상해에 이르게 한 자는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다. \n 도로교통법 제148조의2 제1항 도로교통법 제44조 제1항 또는 도로교통법 제 44조 제2항을 2회 이상 위반한 사람(자동차등 또는 노면전차를 운전한 사람으로 한정한다. 다만, 개인형 이동장치를 운전하는 경우는 제외한다. 이하 이 조에서 같다)은 2년 이상 5년 이하의 징역이나 1천만원 이상 2천만원 이하의 벌금에 처한다.",
84,"성폭력범죄의처벌등에관한특례법 제14조 제2항,성폭력범죄의처벌등에관한특례법 제14조 제1항",성폭력범죄의처벌등에관한특례법 제14조 제2항 성폭력범죄의처벌등에관한특례법 제14조 제1항의 촬영이 촬영 당시에는 촬영대상자의 의사에 반하지 아니하는 경우에도 사후에 그 의사에 반하여 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영한 자는 3년 이하의 징역 또는 500만원 이하의 벌금에 처한다. \n 성폭력범죄의처벌등에관한특례법 제14조 제1항 카메라나 그 밖에 이와 유사한 기능을 갖춘 기계장치를 이용하여 성적 욕망 또는 수치심을 유발할 수 있는 다른 사람의 신체를 그 의사에 반하여 촬영하거나 그 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영한 자는 5년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.,
85,도로교통법 제151조,도로교통법 제151조 차 또는 노면전차의 운전자가 업무상 필요한 주의를 게을리하거나 중대한 과실로 다른 사람의 건조물이나 그 밖의 재물을 손괴한 경우에는 2년 이하의 금고나 500만원 이하의 벌금에 처한다.,
86,"도로교통법 제148조의2 제3항 제1호,도로교통법 제44조 제1항,도로교통법 제152조 제1호,도로교통법 제43조","도로교통법 제148조의2 제3항 제1호 혈중알코올농도가 0.2퍼센트 이상인 사람은 2년 이상 5년 이하의 징역이나 1천만원 이상 2천만원 이하의 벌금 \n 도로교통법 제44조 제1항 누구든지 술에 취한 상태에서 자동차등(건설기계관리법 제26조 제1항 단서에 따른 건설기계 외의 건설기계를 포함한다. 이하 이 조, 도로교통법 제45조, 도로교통법 제47조, 도로교통법 제93조 제1항 제1호부터 제4호까지 및 도로교통법 제148조의2에서 같다), 노면전차 또는 자전거를 운전하여서는 아니 된다. \n 도로교통법 제152조 제1호 도로교통법 제43조를 위반하여 도로교통법 제80조에 따른 운전면허(원동기장치자전거면허는 제외한다. 이하 이 조에서 같다)를 받지 아니하거나(운전면허의 효력이 정지된 경우를 포함한다) 또는 도로교통법 제96조에 따른 국제운전면허증 또는 상호인정외국면허증을 받지 아니하고(운전이 금지된 경우와 유효기간이 지난 경우를 포함한다) 자동차를 운전한 사람 \n 도로교통법 제43조 누구든지 도로교통법 제80조에 따라 시ㆍ도경찰청장으로부터 운전면허를 받지 아니하거나 운전면허의 효력이 정지된 경우에는 자동차등을 운전하여서는 아니 된다. ",
87,형법 제268조,형법 제268조 업무상과실 또는 중대한 과실로 사람을 사망이나 상해에 이르게 한 자는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다.,
88,"형법 제332조,형법 제329조",형법 제332조 상습으로 제329조 내지 제331조의2의 죄를 범한 자는 그 죄에 정한 형의 2분의 1까지 가중한다. \n 형법 제329조 타인의 재물을 절취한 자는 6년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.,
89,"형법 제257조 제1항,형법 제314조 제1항","형법 제257조 제1항 사람의 신체를 상해한 자는 7년 이하의 징역, 10년 이하의 자격정지 또는 1천만원 이하의 벌금에 처한다. \n 형법 제314조 제1항 형법 제313조의 방법(허위의 사실을 유포하거나 기타 위계) 또는 위력으로써 사람의 업무를 방해한 자는 5년 이하의 징역 또는 1천500만원 이하의 벌금에 처한다.",
90,"성폭력범죄의처벌등에관한특례법 제6조 제3항,형법 제298조",성폭력범죄의처벌등에관한특례법 제6조 제3항 신체적인 또는 정신적인 장애가 있는 사람에 대하여 형법 제298조(강제추행)의 죄를 범한 사람은 3년 이상의 유기징역 또는 3천만원 이상 5천만원 이하의 벌금에 처한다. \n 형법 제298조 폭행 또는 협박으로 사람에 대하여 추행을 한 자는 10년 이하의 징역 또는 1천500만원 이하의 벌금에 처한다.,
